crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2025-03-29T00:00:00Z,18:07:00,STATEN ISLAND,10309,40.51634,-74.23283,"
,  
(40.51634, -74.23283)",PAGE AVE,AMBOY RD,NA,1,0,0,0,0,0,1,0,Unspecified,Unspecified,NA,NA,NA,4802081,Sedan,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,13:33:00,BROOKLYN,11216,40.67446,-73.95285,"
,  
(40.67446, -73.95285)",ROGERS AVE,PROSPECT PL,NA,1,0,0,0,0,0,0,0,Following Too Closely,Unspecified,NA,NA,NA,4802174,E-Bike,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,13:52:00,NA,NA,40.830822,-73.87343,"
,  
(40.830822, -73.87343)",BRONX RIVER PARKWAY,NA,NA,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,NA,NA,NA,4801958,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-29T00:00:00Z,06:00:00,STATEN ISLAND,10301,40.645523,-74.07767,"
,  
(40.645523, -74.07767)",RICHMOND TER,HAMILTON AVE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,NA,NA,4802492,Pick-up Truck,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-29T00:00:00Z,13:35:00,BRONX,10456,40.835926,-73.9029,"
,  
(40.835926, -73.9029)",ST PAULS PL,3 AVE,NA,2,0,1,0,0,0,0,0,Turning Improperly,NA,NA,NA,NA,4802548,E-Scooter,NA,NA,NA,NA
2025-03-29T00:00:00Z,12:00:00,NA,NA,40.676132,-73.81923,"
,  
(40.676132, -73.81923)",LEFFERTS BLVD,ROCKAWAY BLVD,NA,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,NA,4802279,Sedan,Sedan,Sedan,Sedan,NA
2025-03-29T00:00:00Z,22:15:00,QUEENS,11434,40.691372,-73.77996,"
,  
(40.691372, -73.77996)",LINDEN BLVD,170 ST,NA,2,0,0,0,0,0,2,0,Unsafe Speed,Traffic Control Disregarded,NA,NA,NA,4802331,Sedan,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,09:00:00,BROOKLYN,11232,40.65211,-74.01738,"
,  
(40.65211, -74.01738)",47 ST,1 AVE,NA,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,NA,NA,NA,4802207,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
2025-03-29T00:00:00Z,05:10:00,QUEENS,11354,40.76536,-73.827866,"
,  
(40.76536, -73.827866)",35 AVE,UNION ST,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,4802450,Sedan,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Sedan,Station Wagon/Sport Utility Vehicle
2025-03-29T00:00:00Z,13:12:00,BROOKLYN,11201,40.69599,-73.983215,"
,  
(40.69599, -73.983215)",TILLARY ST,GOLD ST,NA,0,0,0,0,0,0,0,0,Unsafe Lane Changing,NA,NA,NA,NA,4802098,Van,NA,NA,NA,NA
2025-03-29T00:00:00Z,13:33:00,QUEENS,11369,40.75866,-73.87646,"
,  
(40.75866, -73.87646)",92 ST,32 AVE,NA,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,NA,NA,NA,4802558,Taxi,Sedan,NA,NA,NA
2025-03-29T00:00:00Z,17:20:00,BROOKLYN,11226,40.655266,-73.96052,"
,  
(40.655266, -73.96052)",NA,NA,218       PARKSIDE AVE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4802379,Station Wagon/Sport Utility Vehicle,Bus,NA,NA,NA
